CNPJ da instituição financeira credenciada;CNPJ;Valor Contratado em R$ mil;N° de clientes;Navegação;CNPJ da instituição financeira credenciada - formatado;Ano;Município - Nome - Código;Última contratação;Fonte de recurso - tratada;Valor desembolsado tratado;Cliente;Custo financeiro;Data da contratação;Descrição do projeto;Fonte de recurso (desembolsos);Forma de apoio;Inovação;Instituição Financeira Credenciada;Instrumento financeiro;Juros;Modalidade de apoio;Município - código;Município;Natureza do cliente;Número de registros;Número do contrato;Porte do cliente;Prazo - amortização (meses);Prazo - carência (meses);Produto;Setor BNDES;Setor CNAE;Situação do contrato;Subsetor BNDES;Subsetor CNAE - código;Subsetor CNAE - nome;Subsetor CNAE agrupado;Tipo de garantia;UF - nome;UF;Valor contratado  R$;Valor desembolsado R$;Área Operacional
;33564543000190;5000;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2019;SEM MUNICÍPIO  -  9999999;18/02/2019;-;0;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI;SEM CUSTO;18/02/2019;APLICACAO DE RECURSOS NAO REEMBOLSAVEIS EM PLANOS DE INOVACAO CONTEMPLANDO PROJETOS PILOTO COM TECNOLOGIAS DE INTERNET DAS COISAS (IOT) PARA A INDUSTRIA, EM CONSONANCIA COM O PLANODE ACAO DO ESTUDO DE IOT E EM PARCERIA COM O SENAI E A EMBR APII.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;9999999;SEM MUNICÍPIO;PRIVADA;1;18207861;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SAO PAULO;SP;5000000;0;AREA DE INDUSTRIA E SERVICOS 2
;2641663000110;3316,55;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;CAMPINAS  -  3509502;05/12/2018;-;0;FUNDACAO CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM;SEM CUSTO;05/12/2018;DESENVOLVIMENTO DE FAMILIA DE ELETROPOSTOS RECARREGADORES PARA VEICULOS ELETRICOS.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3509502;CAMPINAS;PRIVADA;1;18203351;MÉDIA;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SAO PAULO;SP;3316550;0;AREA DE INDUSTRIA E SERVICOS 2
;78626363000124;3362;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;FLORIANOPOLIS  -  4205407;30/11/2018;-;0;FUNDACAO CENTROS DE REFERENCIA EM TECNOLOGIAS INOVADORA;SEM CUSTO;30/11/2018;DESENVOLVER UMA LINHA NACIONAL DE ESTACOES DE RECARGA DE VEICULOS ELETRICOS.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4205407;FLORIANOPOLIS;PRIVADA;1;18203361;MÉDIA;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SANTA CATARINA;SC;3362000;0;AREA DE INDUSTRIA E SERVICOS 2
;5505390000175;7208,6633;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;SEM MUNICÍPIO  -  9999999;29/10/2018;-;0;FUNDACAO DE APOIO AO INSTITUTO DE PESQUISAS TECNOLOGICA;SEM CUSTO;29/10/2018;DESENVOLVER O PROCESSO DE OBTENCAO DE IMAS PERMANENTES      DE DIDIMIO-FERRO-BORO PARTINDO DO OXIDO DE DIDIMIO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;9999999;SEM MUNICÍPIO;PRIVADA;1;17206871;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;INDÚSTRIA;INDUSTRIA DE TRANSFORMAÇÃO;ATIVO;METALURGIA E PRODUTOS;C2449199;METALURGIA METAIS NAO-FERROSOS SUAS LIGAS NAO ESPECI ANTERIOR;METALURGIA;NÃO SE APLICA;INTERESTADUAL;IE;7208663,3;0;AREA DE INDUSTRIA E SERVICOS 2
;82895327000133;2010,323;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;SEM MUNICÍPIO  -  9999999;29/10/2018;-;0;FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA;SEM CUSTO;29/10/2018;DESENVOLVER O PROCESSO DE OBTENCAO DE IMAS PERMANENTES      DE DIDIMIO-FERRO-BORO PARTINDO DO OXIDO DE DIDIMIO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;9999999;SEM MUNICÍPIO;PRIVADA;1;17206871;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;INDÚSTRIA;INDUSTRIA DE TRANSFORMAÇÃO;ATIVO;METALURGIA E PRODUTOS;C2449199;METALURGIA METAIS NAO-FERROSOS SUAS LIGAS NAO ESPECI ANTERIOR;METALURGIA;NÃO SE APLICA;INTERESTADUAL;IE;2010323;0;AREA DE INDUSTRIA E SERVICOS 2
;72060999000175;11511;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;RIO DE JANEIRO  -  3304557;13/03/2018;-;0;FUNDACAO COORDENACAO DE PROJETOS,PESQUISAS E ESTUDOS TE;SEM CUSTO;13/03/2018;DESENVOLVIMENTO DE UMA NOVA ROTA DE OBTENCAO DE FIBRAS DE CARBONO POR MEIO DE PRECURSOR DE ORIGEM SUSTENTAVEL, A LIGNINA, NO LUGAR DO PETROQUIMICO TRADICIONAL.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3304557;RIO DE JANEIRO;PRIVADA;1;17204811;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;RIO DE JANEIRO;RJ;11511000;0;AREA DE INDUSTRIA E SERVICOS 2
;849774000191;5400;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2018;SEM MUNICÍPIO  -  0000000;02/01/2018;-;0;FUNDACAO DE APOIO A PESQUISA E AO DESENVOLVIMENTO-FAPED;SEM CUSTO;02/01/2018;DESENVOLVIMENTO DE HIBRIDOS DE SORGO (PARA ETANOL 1G, ETANOL 2G E COGERAÇÃO DE ENERGIA), VIA MELHORAMENTO CONVENCIONAL E REPRODUCAO ASSISTIDA, E DE SISTEMA TECNOLOGICO DE SORGO ENERGIA (SACARINO E BIOMASSA) PARA UTILIZACAO COMO CULTURA COMPLEMENTAR A CANA.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;0000000;SEM MUNICÍPIO;PRIVADA;1;17204671;MICRO;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;INTERESTADUAL;IE;5400000;0;AREA DE INDUSTRIA E SERVICOS 1
;57722118000140;2328,61926;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2017;RIBEIRAO PRETO  -  3543402;22/12/2017;-;0;FUND DE APOIO AO ENSINO, PESQUISA E ASSISTENCIA DO HCFM;SEM CUSTO;22/12/2017;REALIZAR ENSAIOS PRE-CLINICOS E CLINICOS DE FASE I DE MEDICAMENTO CONTENDO CANABIDIOL (CBD) SINTETICO COM INDICACAO PARADOENCA DE PARKINSON.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3543402;RIBEIRAO PRETO;PRIVADA;1;17206191;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SAO PAULO;SP;2328619,26;0;AREA DE INDUSTRIA E SERVICOS 1
;57722118000140;1704,708;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2017;RIBEIRAO PRETO  -  3543402;22/12/2017;-;0;FUND DE APOIO AO ENSINO, PESQUISA E ASSISTENCIA DO HCFM;SEM CUSTO;22/12/2017;REALIZAR ENSAIOS PRE-CLINICOS E CLINICOS DE FASE I DE MEDICAMENTO CONTENDO CANABIDIOL (CBD) SINTETICO COM INDICACAO PARADOENCA DE PARKINSON.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3543402;RIBEIRAO PRETO;PRIVADA;1;17206191;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SAO PAULO;SP;1704708;0;AREA DE INDUSTRIA E SERVICOS 1
;83661074000104;4140;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2014;CRICIUMA  -  4204608;29/04/2014;RECURSOS ESTATUTÁRIOS - PRÓPRIOS ESTATUTÁRIOS;4140000;FUNDACAO EDUCACIONAL DE CRICIUMA;SEM CUSTO;29/04/2014;DESENVOLVIMENTO DE TECNOLOGIA, EM ESCALA PILOTO, PARA RECICLAGEM DE RESIDUOS DA MINERACAO DE CARVAO, COM O OBJETIVO DE TRANSFORMAR OS RESIDUOS EM POZOLANAS, COM VALOR COMERCIALDESTINADAS A INDÉSTRIA DE CIMENTO.;RECURSOS ESTATUTÁRIOS - PRÓPRIOS ESTATUTÁRIOS;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4204608;CRICIUMA;PRIVADA;1;13212031;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8531700;EDUCACAO SUPERIOR - GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;SANTA CATARINA;SC;4140000;4140000;AREA DE GESTAO PUBLICA E SOCIOAMBIENTAL
